Rank,Player,Team,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G
1,Josh Allen ,BUF,409,646,63.3,"4,407",6.8,36,15,26,122,763,6,3,17
2,Justin Herbert ,LAC,443,672,65.9,"5,014",7.5,38,15,31,63,302,3,1,17
3,Tom Brady ,TB,485,719,67.5,"5,316",7.4,43,12,22,28,81,2,3,17
4,Patrick Mahomes II ,KC,436,658,66.3,"4,828",7.3,37,13,28,66,381,2,4,17
5,Matthew Stafford ,LAR,404,601,67.2,"4,886",8.1,41,17,30,32,43,0,2,17
6,Aaron Rodgers ,GB,366,531,68.9,"4,115",7.7,37,4,30,33,101,3,0,16
7,Dak Prescott ,DAL,410,596,68.8,"4,449",7.5,37,10,30,48,146,1,6,16
8,Joe Burrow ,CIN,366,520,70.4,"4,611",8.9,34,14,51,40,118,2,2,16
9,Jalen Hurts ,PHI,265,432,61.3,"3,144",7.3,16,9,26,139,784,10,2,15
10,Kyler Murray ,ARI,333,481,69.2,"3,787",7.9,24,10,31,88,423,5,0,14
11,Kirk Cousins ,MIN,372,561,66.3,"4,221",7.5,33,7,28,29,115,1,2,16
12,Ryan Tannehill ,TEN,357,531,67.2,"3,734",7,21,14,47,55,270,7,4,17
13,Derek Carr ,LV,428,626,68.4,"4,804",7.7,23,14,40,40,108,0,5,17
14,Carson Wentz ,WAS,322,516,62.4,"3,563",6.9,27,7,32,57,215,1,5,17
15,Lamar Jackson ,BAL,246,382,64.4,"2,882",7.5,16,13,38,134,767,2,3,12
16,Russell Wilson ,DEN,259,400,64.8,"3,113",7.8,25,6,33,43,183,2,1,14
17,Jimmy Garoppolo ,SF,301,441,68.3,"3,810",8.6,20,12,29,38,51,3,3,15
18,Mac Jones ,NE,352,521,67.6,"3,801",7.3,22,13,28,44,129,0,3,17
19,Taylor Heinicke ,WAS,321,494,65,"3,419",6.9,20,15,38,60,313,1,2,16
20,Matt Ryan ,IND,375,560,67,"3,968",7.1,20,12,40,40,82,1,4,17
21,Ben Roethlisberger ,PIT,390,605,64.5,"3,740",6.2,22,10,38,20,5,1,5,16
22,Trevor Lawrence ,JAC,359,602,59.6,"3,641",6,12,17,32,73,334,2,5,17
23,Teddy Bridgewater ,MIA,285,426,66.9,"3,052",7.2,18,7,31,30,106,2,1,14
24,Jared Goff ,DET,332,494,67.2,"3,245",6.6,19,8,35,17,87,0,6,14
25,Baker Mayfield ,CLE,253,418,60.5,"3,010",7.2,17,13,43,37,134,1,3,14
26,Tua Tagovailoa ,MIA,263,388,67.8,"2,653",6.8,16,10,20,42,128,3,1,13
27,Daniel Jones ,NYG,232,361,64.3,"2,428",6.7,10,7,22,62,298,2,3,11
28,Sam Darnold ,CAR,243,406,59.9,"2,527",6.2,9,13,35,48,222,5,4,12
29,Davis Mills ,HOU,263,394,66.8,"2,664",6.8,16,10,31,18,44,0,1,13
30,Zach Wilson ,NYJ,213,383,55.6,"2,334",6.1,9,11,44,29,185,4,1,13
31,Justin Fields ,CHI,159,270,58.9,"1,870",6.9,7,10,36,72,420,2,5,12
32,Taysom Hill ,NO,78,134,58.2,978,7.3,4,5,9,70,374,5,0,12
33,Jameis Winston ,NO,95,161,59,"1,170",7.3,14,3,11,32,166,1,1,7
34,Trevor Siemian ,CHI,108,188,57.4,"1,154",6.1,11,3,9,9,20,1,1,6
