Rank,Player,Team,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G
1,Jonathan Taylor ,IND,332,"1,811",5.5,83,0,18,40,51,360,9,2,2,17
2,Austin Ekeler ,LAC,206,911,4.4,28,0,12,70,94,647,9.2,8,3,16
3,Joe Mixon ,CIN,292,"1,205",4.1,32,0,13,42,48,314,7.5,3,1,16
4,Najee Harris ,PIT,307,"1,200",3.9,37,0,7,74,94,467,6.3,3,0,17
5,James Conner ,ARI,202,752,3.7,35,0,15,37,39,375,10.1,3,0,15
6,Ezekiel Elliott ,DAL,237,"1,002",4.2,47,0,10,47,65,287,6.1,2,1,17
7,Nick Chubb ,CLE,228,"1,259",5.5,70,0,8,20,25,174,8.7,1,1,14
8,Damien Harris ,NE,202,929,4.6,64,0,15,18,20,132,7.3,0,2,15
9,Alvin Kamara ,NO,240,898,3.7,30,0,4,47,67,439,9.3,5,0,13
10,Antonio Gibson ,WAS,258,"1,037",4,27,0,7,42,52,294,7,3,4,16
11,Leonard Fournette ,TB,180,812,4.5,47,0,8,69,84,454,6.6,2,0,14
12,Cordarrelle Patterson ,ATL,153,618,4,39,0,6,52,69,548,10.5,5,0,16
13,Aaron Jones ,GB,171,799,4.7,57,0,4,52,65,391,7.5,6,1,15
14,Derrick Henry ,TEN,219,937,4.3,76,0,10,18,20,154,8.6,0,0,8
15,Dalvin Cook ,MIN,249,"1,159",4.7,66,0,6,34,49,224,6.6,0,2,13
16,Josh Jacobs ,LV,217,872,4,28,0,9,54,64,348,6.4,0,2,15
17,Melvin Gordon III ,DEN,203,918,4.5,70,0,8,28,38,213,7.6,2,3,16
18,Javonte Williams ,DEN,203,903,4.4,49,0,4,43,53,316,7.3,3,1,17
19,Devin Singletary ,BUF,188,870,4.6,46,0,7,40,50,228,5.7,1,0,17
20,David Montgomery ,CHI,225,849,3.8,41,0,7,42,51,301,7.2,0,1,14
21,AJ Dillon ,GB,187,803,4.3,36,0,5,34,37,313,9.2,2,1,17
22,Darrel Williams ,KC,144,558,3.9,21,0,6,47,57,452,9.6,2,0,17
23,D'Andre Swift ,DET,151,617,4.1,57,0,5,62,78,452,7.3,2,1,13
24,Elijah Mitchell ,SF,207,963,4.7,39,0,5,19,20,137,7.2,1,0,12
25,James Robinson ,JAC,164,767,4.7,58,0,8,31,46,222,7.2,0,2,14
26,Darrell Henderson Jr. ,LAR,149,688,4.6,29,0,5,29,40,176,6.1,3,0,12
27,Sony Michel ,MIA,208,845,4.1,39,0,4,21,33,128,6.1,1,1,17
28,Myles Gaskin ,MIA,173,612,3.5,30,0,3,49,63,234,4.8,4,1,17
29,Tony Pollard ,DAL,130,719,5.5,58,0,2,39,46,337,8.6,0,0,15
30,Michael Carter ,NYJ,147,639,4.3,55,0,4,36,55,325,9,0,1,14
31,Rashaad Penny ,SEA,119,749,6.3,62,0,6,6,8,48,8,0,0,10
32,Devonta Freeman ,NYG,133,576,4.3,32,0,5,34,42,190,5.6,1,0,16
33,Chuba Hubbard ,CAR,172,612,3.6,26,0,5,25,37,174,7,1,1,16
34,Saquon Barkley ,NYG,162,593,3.7,41,0,2,41,57,263,6.4,2,1,14
35,Devontae Booker ,NYG,145,593,4.1,31,0,2,40,45,268,6.7,1,0,16
36,Rhamondre Stevenson ,NE,133,606,4.6,21,0,5,14,18,123,8.8,0,1,12
37,Chase Edmonds ,MIA,116,592,5.1,54,0,2,43,53,311,7.2,0,1,12
38,Clyde Edwards-Helaire ,KC,119,517,4.3,17,0,4,19,23,118,6.2,2,2,10
39,Mike Davis ,BAL,138,503,3.6,18,0,3,44,58,259,5.9,1,3,17
40,Alexander Mattison ,MIN,134,491,3.7,48,0,3,32,39,228,7.1,1,1,16
41,Jamaal Williams ,DET,153,601,3.9,20,0,3,26,28,157,6,0,0,13
42,Latavius Murray ,NO,119,501,4.2,46,0,6,10,13,75,7.5,0,0,14
43,Miles Sanders ,PHI,137,754,5.5,38,0,0,26,34,158,6.1,0,1,12
44,Christian McCaffrey ,CAR,99,442,4.5,18,0,1,37,41,343,9.3,1,0,7
45,Kenneth Gainwell ,PHI,68,291,4.3,18,0,5,33,50,253,7.7,1,1,16
46,Kareem Hunt ,CLE,78,386,4.9,33,0,5,22,27,174,7.9,0,0,8
47,Boston Scott ,PHI,87,373,4.3,23,0,7,13,16,83,6.4,0,1,11
48,D'Ernest Johnson ,CLE,100,534,5.3,30,0,3,19,25,137,7.2,0,0,13
49,J.D. McKissic ,WAS,48,212,4.4,15,0,2,43,53,397,9.2,2,0,11
