Rank,Team,Opp. Record,Opp. Win Pct.
1,Los Angeles Rams,164-125-0,0.567
2,Arizona Cardinals,157-132-0,0.543
3,Cincinnati Bengals,154-133-2,0.536
4,Tampa Bay Buccaneers,154-134-1,0.535
5,San Francisco 49ers,154-135-0,0.533
5,Kansas City Chiefs,154-135-0,0.533
7,Las Vegas Raiders,152-136-1,0.528
7,New Orleans Saints,152-136-1,0.528
9,Atlanta Falcons,151-137-1,0.524
10,Los Angeles Chargers,150-139-0,0.519
11,Seattle Seahawks,149-139-1,0.517
12,Carolina Panthers,147-140-2,0.512
12,Pittsburgh Steelers,148-141-0,0.512
12,Buffalo Bills,147-140-2,0.512
15,Denver Broncos,147-142-0,0.509
16,New England Patriots,143-144-2,0.498
17,New York Jets,142-145-2,0.495
17,Cleveland Browns,142-145-2,0.495
19,Houston Texans,141-148-0,0.488
20,Minnesota Vikings,139-148-2,0.484
21,Miami Dolphins,138-149-2,0.481
22,Green Bay Packers,137-150-2,0.478
23,Baltimore Ravens,136-151-2,0.474
24,Chicago Bears,135-152-2,0.471
24,Tennessee Titans,136-153-0,0.471
26,Jacksonville Jaguars,135-153-1,0.469
26,Indianapolis Colts,135-153-1,0.469
28,Detroit Lions,135-154-0,0.467
29,New York Giants,134-154-1,0.465
30,Philadelphia Eagles,133-154-2,0.464
31,Dallas Cowboys,133-155-1,0.462
31,Washington Commanders,133-155-1,0.462
